yy mm dd HH MM SS obs-obs-1-1-t2m obs-obs-1-1-ws_10min obs-obs-1-1-wg_10min obs-obs-1-1-wd_10min obs-obs-1-1-rh obs-obs-1-1-td obs-obs-1-1-r_1h obs-obs-1-1-ri_10min obs-obs-1-1-snow_aws obs-obs-1-1-p_sea obs-obs-1-1-vis obs-obs-1-1-n_man obs-obs-1-1-wawa
2017 01 01 20 30 00 -1.5 4.7 8.3 346.0 77.0 -5.1 NaN 0.0 0.0 1000.3 50000.0 7.0 21.0
2017 01 01 20 40 00 -1.6 4.2 8.0 344.0 77.0 -5.1 NaN 0.0 0.0 1000.4 50000.0 5.0 21.0
2017 01 01 20 50 00 -1.6 3.2 5.8 345.0 77.0 -5.2 NaN 0.0 0.0 1000.5 50000.0 3.0 0.0
2017 01 01 21 00 00 -1.8 2.6 4.6 329.0 78.0 -5.2 0.0 0.0 0.0 1000.6 50000.0 1.0 0.0
2017 01 01 21 10 00 -2.3 2.5 4.2 317.0 80.0 -5.3 NaN 0.0 0.0 1000.7 50000.0 1.0 0.0
2017 01 01 21 20 00 -2.4 2.5 4.4 310.0 82.0 -5.0 NaN 0.0 0.0 1000.7 50000.0 1.0 0.0
2017 01 01 21 30 00 -2.6 2.5 4.4 310.0 84.0 -5.0 NaN 0.0 0.0 1000.8 50000.0 0.0 0.0
2017 01 01 21 40 00 -2.8 2.9 4.9 311.0 85.0 -5.0 NaN 0.0 0.0 1001.0 50000.0 0.0 0.0
2017 01 01 21 50 00 -2.9 2.7 4.5 313.0 85.0 -5.1 NaN 0.0 0.0 1001.1 50000.0 0.0 0.0
2017 01 01 22 00 00 -3.0 3.4 4.8 315.0 86.0 -5.0 0.0 0.0 0.0 1001.1 50000.0 0.0 0.0
2017 01 01 22 10 00 -3.2 2.3 3.6 307.0 87.0 -5.1 NaN 0.0 0.0 1001.1 50000.0 0.0 0.0
2017 01 01 22 20 00 -3.3 3.1 5.1 314.0 88.0 -5.1 NaN 0.0 0.0 1001.2 50000.0 0.0 0.0
2017 01 01 22 30 00 -3.3 2.9 5.1 317.0 88.0 -5.0 NaN 0.0 0.0 1001.2 50000.0 0.0 0.0
2017 01 01 22 40 00 -3.4 3.3 5.5 321.0 87.0 -5.2 NaN 0.0 0.0 1001.2 50000.0 0.0 0.0
2017 01 01 22 50 00 -3.6 2.9 5.4 312.0 88.0 -5.4 NaN 0.0 0.0 1001.4 50000.0 0.0 0.0
2017 01 01 23 00 00 -3.8 2.9 4.9 310.0 89.0 -5.4 0.0 0.0 0.0 1001.4 50000.0 0.0 0.0
2017 01 01 23 10 00 -3.9 3.1 5.6 319.0 89.0 -5.5 NaN 0.0 0.0 1001.5 50000.0 0.0 0.0
2017 01 01 23 20 00 -3.9 3.0 5.5 320.0 89.0 -5.5 NaN 0.0 0.0 1001.5 50000.0 0.0 0.0
2017 01 01 23 30 00 -4.0 3.4 6.0 322.0 88.0 -5.7 NaN 0.0 0.0 1001.4 50000.0 0.0 0.0
2017 01 01 23 40 00 -4.1 4.1 6.8 322.0 88.0 -5.8 NaN 0.0 0.0 1001.4 50000.0 0.0 0.0
2017 01 01 23 50 00 -4.3 3.2 5.6 324.0 89.0 -5.9 NaN 0.0 0.0 1001.4 50000.0 1.0 0.0
2017 01 02 00 00 00 -4.5 4.3 7.2 323.0 89.0 -6.0 0.0 0.0 0.0 1001.3 50000.0 1.0 0.0
